file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,class,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,4,0,4,0,0,4,0,0,0,0,13
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/Mock.java,com.alibaba.dubbo.spring.boot.Mock,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,class,16,7,1,12,4,5,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,74,5,0,1,1,0,9,1,8,0,0,8,1,1,0,0,42
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,class,2,7,1,5,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,34,0,1,0,3,0,0,2,6,0,0,3,3,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,class,2,21,1,0,150,21,0,21,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,85,11,0,0,0,0,15,2,16,1,1,10,0,0,0,0,43
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ConsumerSubscribeListener.java,com.alibaba.dubbo.spring.boot.listener.ConsumerSubscribeListener,class,7,2,2,5,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,33,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,38
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProviderAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,class,19,25,1,43,0,2,0,1,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,112,0,3,7,0,2,8,4,16,1,1,19,4,0,0,0,44
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/health/DubboHealthIndicator.java,com.alibaba.dubbo.spring.boot.health.DubboHealthIndicator,class,5,5,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1,0,1,0,2,0,4,1,1,3,3,0,0,0,26
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboConsumerAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboConsumerAutoConfiguration,class,24,19,1,19,3,3,1,2,1,0,0,0,0,0,6,1,0,6,0,0,1,0,0,140,3,1,5,0,2,5,1,9,0,0,12,2,1,0,0,67
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/DubboSpringBootStarterConstants.java,com.alibaba.dubbo.spring.boot.domain.DubboSpringBootStarterConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,2,0,2,0,0,2,-1,0,0,0,16
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/ClassIdBean.java,com.alibaba.dubbo.spring.boot.domain.ClassIdBean,class,1,17,1,4,0,7,0,7,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,54,10,0,8,0,4,4,8,9,7,7,6,1,0,0,0,30
