file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,testClassIdBeanNull/0,12,2,1,2,6,0,2,0,12,0,0,0,1,1,0,2,0,0,0,0,0,10
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,testClassIdBeanNotNull/0,20,2,1,2,6,0,2,0,20,0,0,0,1,3,0,2,0,0,0,0,0,11
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboServer/0,43,4,2,6,21,1,3,0,43,0,0,1,0,4,1,3,0,1,1,0,0,17
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboProtocolConfig/0,68,5,1,6,7,1,1,0,68,0,0,0,0,0,0,1,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboApplicationConfig/0,34,5,1,2,5,1,1,0,34,0,0,0,0,0,0,1,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboRegistryConfig/0,79,5,1,2,5,1,1,0,79,0,0,0,0,0,0,1,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboHealthIndicator/0,95,2,1,0,3,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboMonitorConfig/0,88,6,1,2,5,1,1,0,88,0,0,0,0,2,0,1,0,0,0,0,0,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,stopAwait/0,32,0,1,0,3,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,destroy/0,37,1,3,3,12,0,1,0,37,0,0,1,0,0,1,1,0,2,0,0,0,7
